game_id,game_name,game_category,Provider_name
1,MARY,,Happy Games
2,PATRICIA,,Gamz
3,LINDA,,Verri
4,BARBARA,Slots,Jopsgame
5,ELIZABETH,,Slotdream
6,JENNIFER,Slots,Dumgames
7,MARIA,Slots,Casher
8,SUSAN,Slots,Camel games
9,MARGARET,,Gaming kids
10,DOROTHY,,Gurras games
11,LISA,Slots,Peteslots
12,NANCY,,Berry
13,KAREN,,Lemon
14,BETTY,Slots,Nextin
15,HELEN,Slots,Allin
16,SANDRA,Slots,Roppygamez
17,DONNA,Slots,Loober
18,CAROL,Slots,Kuzz
19,RUTH,,Nowins
20,SHARON,Slots,Fullhand
21,MICHELLE,Slots,Livgames
22,LAURA,Slots,Brakker
23,SARAH,Slots,Linnet gaming
24,KIMBERLY,Slots,Guns n games
25,DEBORAH,Slots,Gunsmit game
26,JESSICA,Slots,Verigood games
27,SHIRLEY,Slots,Asta games
28,CYNTHIA,Slots,Lifo games
29,ANGELA,Slots,Starter game
30,MELISSA,Slots,Lundqvist gaming
31,BRENDA,Slots,Matlock games
32,AMY,Slots,Flipper
33,ANNA,Slots,Snooz
34,REBECCA,Slots,Alarma
35,VIRGINIA,Slots,Okkult games
36,KATHLEEN,Slots,Viira games
37,PAMELA,Slots,Ypper software
38,MARTHA,Slots,Waller
39,DEBRA,Slots,Big or nothing
40,AMANDA,Slots,
41,STEPHANIE,Slots,Happy Games
42,CAROLYN,Slots,Gamz
43,CHRISTINE,Slots,Verri
44,MARIE,Slots,Jopsgame
45,JANET,Slots,Slotdream
46,CATHERINE,Slots,Dumgames
47,FRANCES,Slots,Casher
48,ANN,Slots,Camel games
49,JOYCE,Slots,Gaming kids
50,DIANE,Slots,Gurras games
51,ALICE,Slots,Peteslots
52,JULIE,Slots,Berry
53,HEATHER,Slots,Lemon
54,TERESA,Slots,Nextin
55,DORIS,Slots,Allin
56,GLORIA,Slots,Roppygamez
57,EVELYN,Slots,Loober
58,JEAN,Slots,Kuzz
59,CHERYL,Slots,Nowins
60,MILDRED,Slots,Fullhand
61,KATHERINE,Slots,Livgames
62,JOAN,Slots,Brakker
63,ASHLEY,Slots,Linnet gaming
64,JUDITH,Slots,Guns n games
65,ROSE,Slots,Gunsmit game
66,JANICE,Slots,Verigood games
67,KELLY,Slots,Asta games
68,NICOLE,Slots,Lifo games
69,JUDY,Slots,Starter game
70,CHRISTINA,Slots,Lundqvist gaming
71,KATHY,Slots,Matlock games
72,THERESA,Slots,Flipper
73,BEVERLY,Slots,Snooz
74,DENISE,Slots,Alarma
75,TAMMY,Slots,Okkult games
76,IRENE,Slots,Viira games
77,JANE,Slots,Ypper software
78,LORI,Slots,Waller
79,RACHEL,Slots,Big or nothing
80,MARILYN,Slots,
81,ANDREA,Slots,Happy Games
82,KATHRYN,Slots,Gamz
83,LOUISE,Slots,Verri
84,SARA,Slots,Jopsgame
85,ANNE,Slots,Slotdream
86,JACQUELINE,Slots,Dumgames
87,WANDA,Slots,Casher
88,BONNIE,Slots,Camel games
89,JULIA,Slots,Gaming kids
